代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
4707,磐亞,12.6,0.1,0.8,736,12月24日,12.5↗,12.4↗,12.5↘,12.9↘,13.1↘,12.7↗,12.1↗,11.4↗,10.9↗,10.2↗
4716,大立,15.15,0.05,0.33,213,12月24日,15↗,15↗,14.9↗,14.6↗,14.7↘,15.2↘,14.9↗,15.2↘,17.5↗,16.4↘
4720,德淵,15.2,0.1,0.66,309,12月24日,15.2↗,15↗,14.6↗,14.7↗,14.5↗,15.2↗,14.5↗,14.3↗,14.2↗,14.7↗
4726,永昕,38,-2,-5,"1,452",12月24日,39↘,38.7↘,38.8↘,36.6↘,39↘,38.2↗,36↗,31.9↗,30.5↗,
4735,豪展,57,-0.1,-0.18,46,12月24日,57.1↗,56.8↗,56.8↗,56.8↘,60.9↘,75.5↘,81.1↗,68.2↗,57.9↗,39.6↗
4736,泰博,176.5,-1,-0.56,165,12月24日,178↘,177→,175↗,173↘,193↘,192↘,197↗,181↗,155↗,119↗
4745,合富-KY,26.75,-0.55,-2.01,51,12月24日,26.7↗,26.8↘,26.1↗,24.7↗,25.3↘,27.3↘,30.5↘,35.3↘,38.8↘,
4746,台耀,58.5,0,0,613,12月24日,58.6↗,58.2↗,57.5↗,58.5↘,63.7↘,62.2↗,55.1↗,49.7↗,57.3↘,62.2↘
4747,強生,35.2,0.05,0.14,4,12月24日,35.3↘,35.5↘,35.4↘,35.6↘,35.8↘,36.5↘,38.3↘,38.8↘,38.6↘,
4754,國碳科,37.5,-0.05,-0.13,22,12月24日,37.6↘,37.5↗,37.7↘,37↗,37.4↘,39.2↘,43.9↘,47.6↘,46.7↘,
4760,勤凱,93.2,0.1,0.11,99,12月24日,92.7↗,92.9↘,95.1↘,98.3↘,108↘,112↗,91.6↗,,,
4763,材料-KY,103.5,1,0.98,105,12月24日,101↗,103→,102↗,100↗,101↘,112↘,118↘,124↘,133↘,
4764,雙鍵,59.9,0.4,0.67,18,12月24日,59.8↗,59.7↘,60↘,58.4↗,59.4↘,61↘,62.6↘,67.1↘,,
4766,南寶,140,1,0.72,36,12月24日,139↗,139↗,139↗,138↗,142↘,149↘,143↘,145↗,,
4804,大略-KY,8.26,0.01,0.12,90,12月24日,8.15↘,8.13↗,8.15→,8.47↘,8.99↘,10.9↘,10.8↘,12.3↘,24.6↘,
4907,富宇,24.9,-0.1,-0.4,6,12月24日,25↘,25→,25.2↘,25↘,24.6↗,25.1↘,25.9↘,25↗,24.8↗,17.3↗
4909,新復興,22.55,-0.05,-0.22,181,12月24日,22.6↘,22.9↗,22.6↘,22.3↗,23.1↘,23.6↗,20↗,20.2↗,19.9↗,25.2↘
4911,德英,27.8,0.95,3.54,79,12月24日,27.1↗,27↗,27.4↗,27.4↗,26.1↘,28↘,31.9↘,35.7↘,43.5↘,63.4↘
4912,聯德控股-KY,160,1,0.63,245,12月24日,157↗,157↘,162↘,159↘,167↘,165↗,134↗,134↘,147↗,106↗
4924,欣厚-KY,14.7,0.1,0.68,10,12月24日,14.6↗,14.7↘,14.6↗,14.1↗,14.1→,16.1↗,12.7↗,11.5↗,10.6↗,18.8↘
4931,新盛力,20.45,0,0,67,12月24日,20.6↘,20.7↘,20.2↗,19.3↗,20.1↗,20.8↘,24↘,,,
4933,友輝,37.9,0.1,0.26,69,12月24日,37.7↘,37.6↗,36.4↗,34.1↗,35.3↘,38.3↘,32.3↗,30.7↗,27.6↗,49.2↘
4935,茂林-KY,81,0.4,0.5,311,12月24日,79.6↗,78.7↗,79.1↗,78.7↗,82.7↘,92.8↘,107↘,90.2↗,72.1↗,59.1↗
4938,和碩,68.7,0,0,"3,047",12月24日,68.6↗,68.2↗,67.6↗,67.7↗,67↘,70.1↗,67.1↘,63↗,68.2↘,63.2↗
4939,亞電,21,0,0,191,12月24日,20.8↗,20.8↗,20.6↗,20.1↗,21.6↘,22.2↗,18.5↗,18.6↗,18.2↗,17.1↘
4943,康控-KY,33.35,0.2,0.6,684,12月24日,33.2↘,33.4↘,34.7↘,45.9↘,56.8↘,65.7↘,90.5↘,109↘,153↘,
4950,牧東,19.6,0.05,0.26,322,12月24日,19.7↗,19.6↘,19.6↗,19↗,19.3↘,22.2↘,15.8↗,14.3↗,15.9↗,
4953,緯軟,85.5,0.2,0.23,53,12月24日,85.2↗,85↘,85.1↘,85↘,89.1↘,93.6↘,90.2↘,95.9↗,71.7↗,
4958,臻鼎-KY,101,0.5,0.5,945,12月24日,99.1↗,98.5↗,98.6↘,97.8↗,99.5↘,105↘,114↘,111↗,94.6↗,
4967,十銓,47.75,-0.2,-0.42,"1,858",12月24日,47.7↘,48.1↗,46.4↗,44.5↘,53↘,53.3↗,45.1↗,,,
4968,立積,275.5,-1,-0.36,"1,443",12月24日,283↘,276↗,272↘,272↗,335↘,431↘,320↗,249↗,182↗,
4972,湯石照明,31.7,0,0,7,12月24日,31.7→,31.6↘,31.7↗,31.2↗,31.1↘,31.8↗,30.4↘,30.9↘,32.1↘,
4973,廣穎,24.8,-0.1,-0.4,89,12月24日,24.8↘,24.9↘,24.8↗,23.9↗,25.1↘,25.4↗,25.6↗,22.8↗,21.2↗,
4974,亞泰,53.8,-0.1,-0.19,86,12月24日,53.7↗,53.6↘,53.8↗,54↘,56.3↘,56↗,54.6↘,51.5↗,49.2↗,
4976,佳凌,68.8,-0.9,-1.29,"1,092",12月24日,69.8↘,69.5↘,70.6↘,67.3↗,71.5↘,80.4↗,55.2↗,47.7↗,44.6↗,
4977,眾達-KY,85,-0.2,-0.23,43,12月24日,85.2→,85↗,84.9↘,82.9↗,82.7↘,94↘,104↘,100↗,96.9↗,
4979,華星光,18.55,0,0,131,12月24日,18.4↗,18.4↘,18.6↘,17.9↗,18.2↘,20.3↘,22.2↘,22.4↘,25.1↘,
4987,科誠,52.2,-0.1,-0.19,10,12月24日,52.3→,52.2↗,52.2↗,51.5↗,54.7↘,54↗,52.4↘,54.9↘,56.2↗,
4994,傳奇,60.4,-1,-1.63,873,12月24日,63.7↘,62.3↗,57.1↗,55.2↗,56.3↘,64.4↘,65.6↘,70.1↗,64.5↘,
4999,鑫禾,40.8,0.2,0.49,144,12月24日,40.8↘,41→,41↘,41.5↘,42.4↘,47.4↘,45↘,45.2↘,47.6↘,
5007,三星,57,0,0,3,12月24日,56.7↗,56.4↗,56.6↘,58↘,58.1↘,57.7↗,52.3↗,52.3↗,53.4↗,57.6↗
5201,凱衛,27.3,0.6,2.25,181,12月24日,26.8↗,26.7↗,26.5↗,26.2↗,27↘,30.5↘,31.3↘,30.3↘,28.3↘,20.8↗
5202,力新,18.85,-0.3,-1.57,70,12月24日,19↗,18.9↘,19↗,20.3↘,19.9↘,20.7↘,17.6↗,17.5↗,20.4↗,15.6↗
5203,訊連,89.2,-0.5,-0.56,72,12月24日,89.7→,89.9↘,90.4↘,89.7↗,85.2↗,90.3↘,101↘,94.7↗,83.5↗,83.9↗
5205,中茂,11.2,0,0,0,12月24日,11.2→,11.2↗,11.3↘,11.8↘,14.8↘,13↗,10.7↗,10.8↘,11.9↘,13↘
5206,坤悅,15.3,0,0,47,12月24日,15.3↘,15.4↘,15.6↘,16.2↘,16.8↘,17.5↘,17↘,17↗,14.4↗,14.2↗
5212,凌網,45.9,0,0,0,12月24日,46.3↘,46.5↘,47.1↘,47.2↘,50.9↘,54.7↘,51.2↗,43.8↗,35.7↗,26.2↗
5215,科嘉-KY,79.7,-1.3,-1.6,482,12月24日,78.5↗,78.1↗,78.1↗,73.7↗,81.2↘,105↘,107↗,86.4↗,63.1↗,
5220,萬達光電,35.15,0.05,0.14,48,12月24日,34.7↗,34.7↘,34.9↘,36.2↘,37.9↘,39.7↘,38.3↗,36.6↗,,
5223,安力-KY,61.2,-0.5,-0.81,149,12月24日,61↗,60.3↗,58.9↗,52.3↗,53.9↗,65.7↘,57.4↗,52↗,,
5225,東科-KY,21.6,0.35,1.65,112,12月24日,21.3↘,21.9↘,21.6↗,20.4↗,20.3→,21.7↘,26.2↘,31.2↘,29.9↘,
5263,智崴,121.5,-1.5,-1.22,237,12月24日,123↘,124↘,128↘,128↗,126↘,124↗,122↘,143↘,172↘,
5276,達輝-KY,15.9,0.05,0.32,13,12月24日,15.9↘,15.9↗,15.9↘,16.1↗,15.9↗,16.8↗,13.8↗,13.3↗,16.1↘,
5281,大峽谷-KY,22.9,0,0,12,12月24日,22.8↘,22.7↗,22.2↗,21↗,21.8↗,23.3↘,23.3↘,26.5↘,35.1↘,
5283,禾聯碩,118,0,0,43,12月24日,118↗,118→,117↗,115↗,116↘,122↗,112↗,,,
5301,寶得利,8.54,-0.14,-1.61,10,12月24日,8.65↘,8.65↗,8.66↘,8.87↘,9.31↘,9.63↘,10.4↘,13.7↘,19.1↘,25.8↗
5306,桂盟,195.5,0,0,40,12月24日,195↘,197↘,199↘,202↘,213↘,212↗,177↗,153↗,144↗,124↗
5312,寶島科,60,0,0,33,12月24日,60↘,60.2↗,60.4↗,58.9↗,60.2↘,60.7↗,61.6↘,61.9↗,63.9↘,74.9↘
5324,士開,9.58,0.06,0.63,109,12月24日,9.54→,9.54↗,9.55↗,9.47↗,9.61↘,10↘,9.63↘,9.82↘,10.7↘,18.7↘
5328,華容,14.45,-0.15,-1.03,564,12月24日,14.4↗,14.4↘,14.5↘,14.9↘,15.8↘,14.9↗,11.8↗,10.5↗,10.5↗,8.72↗
5340,建榮,36.9,0.1,0.27,109,12月24日,36.7↘,37.1↘,37.8↘,39.5↘,40.2↗,37.8↗,39.2↘,38.5↗,27↗,15.9↗
5345,天揚,5.6,0.02,0.36,10,12月24日,5.56↗,5.48↗,5.54↘,5.66↘,5.88↘,6.51↘,7.14↘,6.8↘,7.45↘,7.52↗
5386,青雲,53.6,-4.8,-8.22,"2,805",12月24日,52.7↗,50.6↗,49.3↗,46.8↗,46.1↗,55.4↘,43.5↗,41.3↗,42.9↗,32.9↗
5388,中磊,68.4,-1.3,-1.87,"1,779",12月24日,68.2↗,68.5↘,67.7↗,65.5↗,65.5↘,68.6↘,71.8↘,71.6↗,72.7↘,65.5↗
5392,能率,26.1,0.85,3.37,"1,024",12月24日,25.3↗,25.4↗,25↗,25↗,25.4↘,26.3↗,25.8↘,28.6↘,36.7↘,46.6↘
5439,高技,60.7,-0.3,-0.49,326,12月24日,60.8↘,61↗,60.7↘,61.9↘,64.8↘,62.4↗,52.8↗,49.7↗,43.5↗,32.5↗
5443,均豪,33.4,0.35,1.06,727,12月24日,33.1↗,33.1↘,34.1↘,33.2↗,35.7↘,38.3↘,30.7↗,27.7↗,26.2↗,19.3↗
5457,宣德,79,-1.6,-1.99,"1,555",12月24日,77.7↗,77↗,76.9↗,80.2↘,80.9↘,82↘,85.5↘,78.7↗,64.9↗,43.3↗
5465,富驊,16.15,0,0,58,12月24日,16.2↗,15.9↗,15.6↗,14.8↗,15.5↘,17.1↘,16.4↗,16.3↘,18.5↗,14.2↗
5474,聰泰,109,0.5,0.46,40,12月24日,108↗,108↘,112↘,109↘,126↘,156↘,160↗,132↗,104↗,74↗
5478,智冠,97,-0.6,-0.61,715,12月24日,101↘,99.2↗,96.2↗,92.8↗,95.7↘,101↗,96↗,88.6↗,82.6↗,76.4↗
5481,新華,13.2,-0.05,-0.38,91,12月24日,13.2↘,13.2↗,13.1↗,13.1↘,12.9→,13.3↘,13.7↘,15.2↘,17.5↘,15.1↗
5487,通泰,35.4,-0.05,-0.14,5,12月24日,35.1↗,35↗,35.2↘,35.7↘,37.4↘,37.8↘,36.1↘,35.3↗,32↗,26.5↗
5498,凱崴,14.1,-0.05,-0.35,418,12月24日,13.9↗,14↘,13.9↘,14.4↘,15.9↘,16.4↘,13.9↗,12.7↗,12↗,10.4↗
5511,德昌,29.8,0,0,16,12月24日,29.8↗,29.7↗,29.7↘,29.4↗,29.4↘,30.1↘,29.9↘,29.4↗,26↗,26.7↗
5512,力麒,9.35,-0.01,-0.11,545,12月24日,9.31↗,9.31↘,9.34↘,9.22↗,9.24↘,9.67↘,9.65↘,9.64↗,9.66↗,11.1↘
5514,三豐,21.05,0.3,1.45,18,12月24日,21↘,21.2↘,21.3↘,21.5↘,21.8↘,21.3↗,20.1↗,18.6↗,15.8↗,17.1↘
5516,雙喜,14.05,0.05,0.36,45,12月24日,13.9↗,13.9↗,13.8↗,14.2↘,14.3↘,14.4↘,14.5↗,14.3↗,12.6↗,12.5↘
5521,工信,8.39,0,0,623,12月24日,8.39↘,8.42↘,8.44↘,8.54↘,9.07↘,9.64↘,9.68↘,9.02↘,10.1↘,10.7↘
5530,龍巖,44.6,0.1,0.22,356,12月24日,43.8↗,43.7↗,43.9↘,44.7↘,46.3↘,49↘,53↘,55.7↘,58.9↘,70.1↘
5531,鄉林,10.95,-0.05,-0.45,338,12月24日,10.9↗,10.9↘,11↘,11.1↘,11.4↘,12.7↘,11.5↗,11.1↗,11.1↘,15.3↘
5534,長虹,72.1,0,0,120,12月24日,71.9↗,71.8↘,72.6↘,74↘,76.7↘,78.7↘,80.6↘,81.8↘,79.8↗,75.6↗
5546,永固-KY,58.3,-0.2,-0.34,20,12月24日,58.3↘,58.4↘,59↘,61.7↘,65.7↘,72.7↘,,,,
5604,中連,77.9,0,0,22,12月24日,77.7↗,77.8↘,77.7→,77.5↗,80.9↘,81.8↗,68.6↗,57.6↗,46.9↗,39.4↗
5704,老爺知,29.75,-0.25,-0.83,21,12月24日,30↘,29.9↘,29.9↘,30.2↘,31.5↘,32.2↘,29.9↗,27.8↗,26.1↗,26.3↗
5820,日盛金,12.35,-0.05,-0.4,229,12月24日,12.4↘,12.4→,12.4→,12.6↘,12.8↘,12.7↗,11.3↗,10.8↗,9.72↗,8.94↗
5864,致和證,15.5,0.1,0.65,199,12月24日,15.4↗,15.3↗,15.3↗,15↘,16.3↘,17.1↗,13.1↗,12.1↗,,
5878,台名,47.2,0,0,7,12月24日,47↗,47.1↘,47.1↘,47.1↘,47.4↘,47.6↗,46.8↗,46.2↗,46↗,
5903,全家,247.5,-0.5,-0.2,47,12月24日,248↘,249↘,250↘,256↘,259↘,261↘,251↗,241↗,223↗,202↗
5904,寶雅,430.5,-10.5,-2.38,285,12月24日,442↘,458↘,475↘,490↘,510↘,546↘,542↗,490↗,436↗,322↗
5906,台南-KY,39.95,-0.55,-1.36,1,12月24日,39.1↗,38.8↗,38.9↗,36.7↗,35.4↗,40.3↘,32.7↗,25.9↗,19.2↗,14.3↗
5907,大洋-KY,18,0,0,79,12月24日,17.9↗,17.8↗,17.9↘,18.4↘,19.7↘,20.2↘,21.6↘,25.2↘,25.6↘,
6015,宏遠證,17,0,0,636,12月24日,16.9↗,16.8↗,16.7→,16.5↘,18.9↘,17.9↗,12.5↗,10.5↗,9.14↗,8.39↗
6016,康和證,14.05,-0.05,-0.35,956,12月24日,14.1→,14.1→,14↘,12.9↗,13.7↘,14.8↗,11.6↗,10.2↗,9.22↗,8.21↗
6021,大慶證,21,-0.2,-0.94,16,12月24日,21.2↘,21.3↘,21.2↘,21.4↘,21.7↘,21.4↗,18.2↗,16↗,13.7↗,12.8↗
6023,元大期,49.65,0,0,44,12月24日,49.6↗,49.6↗,49.6↘,49.4↗,49.5↘,50.6↘,52.1↘,51.3↗,47.2↗,41.2↗
6024,群益期,38.95,-0.05,-0.13,97,12月24日,38.8↗,38.7↗,38.6↗,38.6↗,38.9↘,39.5↗,39.2↘,41.2↘,43.3↗,35.5↗
6101,寬魚國際,20.7,0.05,0.24,48,12月24日,21.7↗,20.6↗,20↗,19.9↗,19.6↗,20.7↘,24.1↘,33↘,37.6↗,27.1↗
6109,亞元,11.15,-0.15,-1.33,112,12月24日,11.1→,11.2↗,10.8↗,10.2↗,10.8↘,11.6↘,11.8↗,11.2↗,11.6↘,11.7↗
6112,聚碩,38.9,0.05,0.13,95,12月24日,38.8↗,38.8↘,38.8↘,38.6↘,39.4↘,41.2↘,39.8↗,37.8↗,34.9↗,32.4↗
6114,久威,23,0,0,28,12月24日,23↘,23↘,23↘,22.9↗,23.3↘,24.4↘,24.6↘,30.2↘,39.2↘,35.6↗
6115,鎰勝,42.7,-0.05,-0.12,54,12月24日,42.7↗,42.6↗,42.6↗,42.4↗,42.8↘,43.1↗,42.8↘,42.5↗,43.3↘,42.2↗
6121,新普,326,0,0,341,12月24日,322↗,324↘,327↗,307↗,321↘,341↘,329↗,303↗,241↗,193↗
6124,業強,25,0.05,0.2,3,12月24日,24.9↗,24.7↗,25.2↘,26↗,26.1↘,27.6↘,30.3↘,31.5↗,28.9↘,27.1↘
6139,亞翔,29.15,0.7,2.46,868,12月24日,28.5↗,28.3↗,28.3↗,28.6↗,29.6↘,30.2↗,29.1↗,28.4↗,30.6↗,28.4↗
6142,友勁,11.4,0,0,514,12月24日,11.3↗,11.2↗,11.2↘,11.6↘,11.9↗,11.7↗,9.7↗,9.23↗,8.68↗,8.04↗
6144,得利影,14.5,0,0,0,12月24日,14.4↘,14.5↘,14.6↘,14.6↘,15.3↘,15.4↗,11.8↗,10.9↗,10.5↗,10.4↗
6146,耕興,214.5,0,0,30,12月24日,215↘,216↘,216↗,217↘,226↘,238↘,231↗,215↗,191↗,160↗
6147,頎邦,66.1,0.1,0.15,"3,402",12月24日,65.6↗,65.7↘,66.4↘,65.5↘,70↘,70.9↘,65.8→,65.1↗,61.4↗,56.7↗
6153,嘉聯益,25.65,0.2,0.79,"5,175",12月24日,25.3↗,25.2↗,24.9↗,24.9↘,26.6↘,30.2↘,30.2↘,30.8↘,32.4↗,32.6↘
6155,鈞寶,24.45,0.1,0.41,127,12月24日,24.3↗,24.3↗,24.3↘,24↗,25.2↘,26.1↘,24.9↘,24.1↘,23.5↗,22.1↗
6160,欣技,18.15,0.05,0.28,144,12月24日,18.1↘,18.3↗,17.8↗,17.5↗,18.6↘,18.8↗,16↘,17.6↘,19↘,21.7↘
6165,浪凡,37.55,-0.15,-0.4,363,12月24日,37.7↘,38.9↗,38.3↘,39.3↗,37.2↗,38.7↘,38.2↗,28.7↗,28.1↗,18.2↗
6173,信昌電,60,-0.5,-0.83,428,12月24日,60.1↗,59.8↗,60.6↘,57.6↗,61.1↘,63.1↘,60.3↗,61.3↘,55.7↗,33.6↗
6176,瑞儀,100.5,0.6,0.6,"1,884",12月24日,99.4↗,98.2↗,97.7↗,96↗,101↘,110↘,109↘,108↗,91.8↗,97↗
6177,達麗,30.05,0,0,221,12月24日,30↗,30↗,30↗,30.5↘,30.6↗,30.4↘,29.7↗,29.6↗,29.5↗,29.8↗
6179,亞通,30.8,-0.3,-0.96,147,12月24日,30.9↗,30.8↘,31.4↘,30.5↘,30.1↘,31.9↘,32.7↘,33↘,37.3↘,30.4↗
6186,新潤,26.35,-0.15,-0.57,142,12月24日,26.5↘,26.5↘,26.7↘,27.3↘,28.1↘,28.3↘,28.6↘,26.7↗,23.4↗,24.6↗
6187,萬潤,116,-1,-0.85,857,12月24日,114↗,114↘,116↘,113→,123↘,122↗,88.1↗,72.6↗,68.6↗,52.2↗
6194,育富,24.9,0,0,16,12月24日,25↘,25↗,24.7↗,25.4↘,27.1↘,30.1↘,29↘,26.1↗,22.8↗,21.2↗
6198,凌泰,33.75,0.75,2.27,1,12月24日,33.3↘,34.1↘,34.4↘,34.9↘,35↘,36.1↗,25↗,21.7↗,21↗,16.9↗
6199,天品,15.6,-0.15,-0.95,2,12月24日,15.8↘,16.2↘,16↘,16.5↘,17↘,16.4↗,14.4↗,14.6↘,17.1↘,16.1↗
6201,亞弘電,44.1,0.1,0.23,21,12月24日,43.7↗,43.8↗,43.4↗,42.7↗,43.9↘,45.1↗,39.7↗,37.8↗,35.1↗,30.9↗
6203,海韻電,84,-0.4,-0.47,112,12月24日,83.7↗,83.4↗,83.5↘,81.1↘,89.8↘,95.1↗,76.6↗,62.4↗,50.5↗,44.5↗
6204,艾華,72.1,0.1,0.14,38,12月24日,71.9↗,71.9↘,72.7↘,80.2↘,86↘,97.4↘,72.2↗,55.4↗,42.3↗,32.9↗
6210,慶生,40.7,0,0,18,12月24日,40.4↗,40.4↗,40.5↗,40.4↗,40.7↘,40.9↗,42.1↘,40.6↗,40↗,42.3↘
6213,聯茂,135,-3,-2.17,"5,368",12月24日,133↗,130↗,129↗,131↘,136↘,136↘,135↗,126↗,98↗,63.6↗
6214,精誠,84.3,0.1,0.12,184,12月24日,84.2↗,84.2↘,84.9↘,86↘,86.5↘,87↘,83.8↗,79.3↗,72.2↗,60.4↗
6219,富旺,17.9,-0.05,-0.28,"2,177",12月24日,18↘,17.9↗,18.1↘,18.6↘,19.8↘,21↗,18↗,16.9↗,14.5↗,15.6↗
6220,岳豐,23,0.05,0.22,193,12月24日,22.8↗,22.7↗,22.5↗,23.4↘,23.8↘,25↘,23.9↘,25.2↘,34.8↘,24.6↗
6221,晉泰,49.55,-0.2,-0.4,36,12月24日,49.6↘,50↘,50.1↘,58.6↘,61.8↘,61.2↗,55.3↗,50.9↗,40.9↗,31.7↗
6223,旺矽,115,-1,-0.86,748,12月24日,115↘,114↗,113→,117↘,129↘,124↗,108↗,93.6↗,86.1↗,80.7↗
6230,尼得科超眾,166.5,0.5,0.3,7,12月24日,165↗,166↘,166↘,166↘,180↘,197↘,221↘,208↗,168↗,124↗
6231,系微,82.9,-1.1,-1.31,139,12月24日,84.2↘,85.7↘,86.1↘,80.7↗,80.5↗,84.5↘,83.4↗,71.7↗,59↗,60.7↘
6233,旺玖,37.1,2.4,6.92,"13,767",12月24日,34.7↗,34.5↗,35.3↗,36.3↘,39.7↗,38.7↗,27.6↗,21.6↗,16.9↗,15.8↗
6234,高僑,21.35,0.35,1.67,251,12月24日,20.9↗,20.8↗,20.7↗,20.6↗,20.9↘,21.9↘,23.6↘,24↗,21.4↗,20.6↗
6237,驊訊,102,-1,-0.97,"1,664",12月24日,102↗,101↘,102↘,98.5↗,112↘,110↗,69.3↗,52↗,41.4↗,32.1↗
6239,力成,98.3,0.4,0.41,"2,588",12月24日,97.5↗,97.1↗,97.3↘,97.9↘,104↘,104↗,100↘,93↗,91.1↗,74.7↗
6241,易通展,22.2,-0.25,-1.11,20,12月24日,22.3↗,22.3↘,22.1↘,23.3↘,21.6↗,22.7↘,19.6↗,16.9↗,15.4↗,20.4↗
6242,立康,39.45,0.7,1.81,5,12月24日,39.1↗,39.2↗,38.9↗,38.8↘,41.2↘,42.8↗,39.7↘,41.1↘,45.8↘,35.6↗
6245,立端,55.5,1.3,2.4,929,12月24日,54.1↗,53.8↗,52.3↗,50.2↗,52.2↘,58.5↘,58.8↘,61.9↗,54.9↗,47.6↗
6248,沛波,21.9,-0.2,-0.9,116,12月24日,22.2↗,22↗,21.3↗,21↗,22↘,23.9↘,25.3↘,24.5↗,22.4↗,18.4↗
6269,台郡,104,-0.5,-0.48,858,12月24日,104↗,103↗,103↗,99.4↗,110↘,116↘,117↘,108↗,106↗,101↗
6274,台燿,102.5,-0.5,-0.49,795,12月24日,102↗,102↘,102↗,99↘,107↘,110↘,118↘,118↗,102↗,62.6↗
6276,安鈦克,22.2,-0.2,-0.89,25,12月24日,22.4↘,22.4↘,22.3↗,22.9↘,26.3↘,32.7↘,28.5↗,22.7↗,18.4↗,19.4↗
6277,宏正,81.3,0,0,45,12月24日,81.2↗,81.2↘,81.4↘,82.5↘,82.9↘,84.4↘,84.9↘,86.4↘,85.3↗,78.1↗
6283,淳安,46.1,-0.25,-0.54,401,12月24日,46.6↗,46↗,46.4↘,46.7↘,49.6↘,49.1↗,37.9↗,36.9↗,40.6↗,24.8↗
6288,聯嘉,27.35,-0.05,-0.18,595,12月24日,27.3↗,27.1↗,26.6↗,27↗,26.3↘,28.4↘,27.3↗,24.9↗,,
6289,華上,2.5,-0.02,-0.79,109,12月24日,2.5↘,2.5↗,2.5↗,2.61↘,2.81↘,3.01↘,2.66↗,2.04↗,2.08↗,2.6↘
6290,良維,53.4,1.2,2.3,"3,913",12月24日,52.2↗,51.9↗,51.9↗,53.4↘,57.1↘,58.7↗,58↘,56.6↗,51.2↗,40.7↗
6294,智基,123.5,-0.5,-0.4,9,12月24日,124↗,124→,125↘,128↘,138↘,138↘,123↗,117↗,116↗,90.7↗
6416,瑞祺電通,99.5,-1,-1,110,12月24日,99.6↗,99.6↘,101↘,96.5↗,102↘,116↘,123↗,111↗,,
6425,易發,25.4,0.05,0.2,26,12月24日,25.4↘,25.6↘,25.9↘,27↘,25.2↗,27.2↘,28.8↘,,,
6426,統新,72.6,-0.7,-0.95,54,12月24日,72.6↗,72.3↘,72.8↘,68.8↗,68↘,82.1↘,106↘,104↗,98.6↗,
6431,光麗-KY,29.1,0.3,1.04,17,12月24日,29.1↘,29.3↘,29.4↗,29.5↘,31.3↘,31.9↘,29.3↗,27.5↗,21.1↗,
6432,今展科,37.9,0.5,1.34,94,12月24日,37.5↗,37.6↘,38.1↘,35.7↗,38.2↘,38.9↗,35.3↗,31.9↗,28.7↗,
6441,廣錠,58.2,-0.2,-0.34,342,12月24日,57.6↗,55.2↗,54.7↗,51.3↗,55.6↘,85.9↘,90.3↗,73.7↗,,
6449,鈺邦,56.7,-0.2,-0.35,48,12月24日,56.8↘,56.8↗,56.5↗,53.4↗,54.8↘,57.6↗,48.7↗,43.2↗,43.7↗,
6451,訊芯-KY,92.5,0.5,0.54,204,12月24日,92↗,93.1↘,94.8↘,92.9↗,97.2↘,109↘,111↘,111↗,113↘,
6456,GIS-KY,103.5,1,0.98,"1,227",12月24日,104→,103↘,103↗,98.9↗,105↘,110↘,110↘,109↘,142↗,
6461,益得,20,0,0,163,12月24日,20↘,20.1↘,20.4↘,20.9↘,21.2↘,20.9↘,20.2↗,20.5↘,,
6462,神盾,116.5,-1.5,-1.27,433,12月24日,117↗,114↗,112↗,116↘,127↘,145↘,165↘,190↘,192↘,
6464,台數科,92.6,-0.5,-0.54,67,12月24日,93.3↘,94↘,95.1↘,98.5↘,103↘,107↘,112↘,111↘,114↘,
6470,宇智,44,0,0,53,12月24日,43.8↗,43.8↗,43.7↗,43.4↗,43.6↘,48.6↘,47↘,46.6↗,45.3↘,
6472,保瑞,185.5,-0.5,-0.27,242,12月24日,188↗,189↘,195↘,204↘,235↘,228↘,195↗,178↗,,
6477,安集,48.85,-1.35,-2.69,"3,632",12月24日,48.9↗,48.3↗,45.3↗,42.9↗,41.9↘,50.2↘,41.8↗,35.3↗,29.4↗,
6486,互動,73.5,0.1,0.14,36,12月24日,73.2↗,72.8↗,72.9↘,72.4↗,74↘,77.5↘,76↘,72.4↗,62.2↗,
6491,晶碩,401.5,5,1.26,337,12月24日,402↗,404↘,417↘,472↘,498↘,442↗,310↗,,,
6492,生華科,105,-7.5,-6.67,"1,586",12月24日,114↘,109↗,99.7↗,111↘,128↘,152↘,146↗,120↗,,
6504,南六,113,-0.5,-0.44,52,12月24日,113↗,113↘,115↘,116↗,123↘,148↘,180↘,171↘,166↘,
6505,台塑化,96.8,0.6,0.62,"1,847",12月24日,95.6↗,95.5↗,96.3↘,99.6↘,99.4↘,99.7↗,93.2↗,97.7↘,104↘,92.7↘
6510,精測,659,4,0.61,90,12月24日,653↗,652↗,662↘,689↘,656↗,723↘,746↘,691↗,820↘,
6516,勤崴國際,96.5,-2,-2.03,56,12月24日,95.5↗,94.5↗,94.6↘,99.5↘,109↘,107↗,97.7↘,,,
6527,明達醫,47.8,0.05,0.1,56,12月24日,47.6↘,47.8↗,47.7↘,47.7↘,48.5↘,50.1↘,,,,
6531,愛普*,496,-3,-0.6,"3,137",12月24日,489↗,490↘,503↘,556↘,613↘,636↗,446↗,312↗,218↗,
6538,倉和,94.9,8.6,9.97,"3,415",12月24日,84↗,81.4↗,79.1↗,76.4↗,87.8↘,118↘,176↘,144↗,103↗,
